State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Atmakur,ANANTAPUR,ATMAKUR - 4690,Atmakur,0,1,41,34,7,1,23,19,0,0,3,39,1,0,41,42,0,42,0,21,21,7,35,42,0,38,4,42,0
Brahmana Yaleru,ANANTAPUR,ATMAKUR - 4690,Brahmana Yaleru,0,0,22,20,2,0,5,17,0,0,1,21,0,0,22,22,0,22,0,17,5,7,15,21,1,17,5,22,0
Goridindla,ANANTAPUR,ATMAKUR - 4690,Goridindla,0,0,33,29,3,1,14,17,2,0,2,31,0,0,33,33,0,33,0,15,18,11,22,33,0,32,1,31,2
Madigubba,ANANTAPUR,ATMAKUR - 4690,Madigubba,0,0,22,20,2,0,8,14,0,0,2,20,0,0,22,22,0,22,0,22,0,3,19,22,0,19,3,22,0
Padamatiyaleru,ANANTAPUR,ATMAKUR - 4690,Padamatiyaleru,0,0,10,8,2,0,8,2,0,0,0,10,0,0,10,10,0,10,0,4,6,2,8,10,0,9,1,9,1
Sanapa,ANANTAPUR,ATMAKUR - 4690,Sanapa,0,0,21,20,0,1,17,4,0,0,0,21,0,0,21,21,0,21,0,10,11,0,21,21,0,18,3,21,0
Talupuru,ANANTAPUR,ATMAKUR - 4690,Talupuru,0,0,24,21,3,0,7,14,3,0,0,24,0,0,24,24,0,24,0,21,3,2,22,24,0,22,2,22,2
Thopudurthi,ANANTAPUR,ATMAKUR - 4690,Thopudurthi,0,0,19,12,6,1,6,13,0,1,0,18,0,0,19,19,0,19,0,17,2,4,15,19,0,18,1,19,0