cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Peddakowkuntla,0,27,1,22,0,6,25,0,3,28,0,0,22,6,0,0,28,0,28,25,3,22,6,28,0,26,2,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Mopidi,0,32,0,32,0,0,9,0,23,32,0,0,31,1,0,0,32,0,32,31,1,31,1,32,0,29,3,32,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Pedda Musturu,0,20,1,20,0,1,9,0,12,21,0,0,21,0,0,0,21,0,21,21,0,19,2,21,0,14,7,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Budagavi,0,25,1,24,0,2,23,0,3,26,0,0,24,2,0,0,26,0,26,21,5,19,7,26,0,22,4,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Raketla,0,27,1,27,0,1,24,0,4,28,0,0,23,5,0,0,28,0,28,26,2,27,1,28,0,26,2,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Uravakonda (CT),0,13,5,17,0,1,15,0,3,18,0,0,14,4,0,0,18,0,18,16,2,14,4,18,0,16,2,18,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Indravathi,0,20,0,17,0,3,15,0,5,20,0,0,20,0,0,0,20,0,20,18,2,19,1,20,0,12,8,20,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Nimbagal,0,24,1,23,0,2,22,0,3,25,0,0,25,0,0,0,25,0,25,19,6,18,7,25,0,24,1,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Amidala,0,27,2,27,0,2,25,0,4,29,0,0,26,3,0,0,29,0,29,22,7,22,7,29,0,25,4,29,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Vyasapuram,0,25,1,20,0,6,24,0,2,26,0,0,22,4,0,0,26,0,26,21,5,24,2,26,0,21,5,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Veligonda,0,24,1,24,0,1,20,0,5,25,0,0,24,1,0,0,25,0,25,22,3,24,1,25,0,20,5,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Shaiksanipalle,0,21,1,21,0,1,21,0,1,22,0,0,22,0,0,0,22,0,22,19,3,16,6,22,0,20,2,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Rayampalle,0,27,0,25,0,2,26,0,1,27,0,0,26,1,0,0,27,0,27,26,1,19,8,27,0,22,5,26,1
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Chinna Musturu,0,26,1,25,0,2,14,0,13,27,0,0,27,0,0,0,27,0,27,25,2,26,1,27,0,22,5,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Lathavaram,0,24,0,22,0,2,18,0,6,24,0,0,24,0,0,0,24,0,24,22,2,22,2,24,0,19,5,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Renimakulapalle,0,24,1,24,0,1,13,0,12,25,0,0,23,2,0,0,25,0,25,22,3,23,2,25,0,20,5,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,URAVAKONDA - 4744,Nerimetla,0,23,2,23,0,2,21,0,4,25,0,0,25,0,0,0,25,0,25,25,0,22,3,25,0,19,6,25,0
