State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amruthalur,Bapatla,AMRUTHALUR - 4924,Amruthalur,0,35,71,0,18,88,98,8,0,1,38,67,0,0,106,92,14,85,21,43,63,59,47,106,0,79,27,93,13
Govada,Bapatla,AMRUTHALUR - 4924,Govada,0,15,63,0,44,34,69,9,0,0,16,62,0,0,78,55,23,50,28,24,54,56,22,78,0,66,12,66,12
Intur,Bapatla,AMRUTHALUR - 4924,Intur,1,14,86,1,6,94,92,9,0,3,8,90,0,0,101,88,13,85,16,16,85,78,23,101,0,87,14,32,69
Koditadiparru,Bapatla,AMRUTHALUR - 4924,Koditadiparru,0,0,38,0,4,34,17,21,0,0,0,38,0,0,38,38,0,25,13,12,26,21,17,38,0,21,17,32,6
Kuchipudi,Bapatla,AMRUTHALUR - 4924,Kuchipudi,0,0,56,0,38,18,46,10,0,0,0,56,0,0,56,55,1,50,6,15,41,45,11,56,0,49,7,54,2
Moparru,Bapatla,AMRUTHALUR - 4924,Moparru,0,0,41,0,14,27,28,13,0,0,1,40,0,0,41,41,0,33,8,3,38,36,5,41,0,36,5,39,2
Mulpur,Bapatla,AMRUTHALUR - 4924,Mulpur,0,0,57,0,41,16,53,4,0,0,0,57,0,0,57,54,3,40,17,6,51,50,7,57,0,50,7,56,1
Panchalavaram,Bapatla,AMRUTHALUR - 4924,Panchalavaram,0,0,52,0,34,18,46,6,0,0,3,49,0,0,52,47,5,50,2,20,32,43,9,52,0,46,6,52,0
Peddapudi,Bapatla,AMRUTHALUR - 4924,Peddapudi,0,0,41,1,4,36,30,11,0,0,0,41,0,0,41,37,4,35,6,33,8,15,26,41,0,11,30,40,1
Pyaparru,Bapatla,AMRUTHALUR - 4924,Pyaparru,0,1,52,0,7,46,27,26,0,1,4,48,0,0,53,50,3,44,9,16,37,20,33,52,1,27,26,47,6
Thurumella,Bapatla,AMRUTHALUR - 4924,Thurumella,0,1,35,0,12,24,16,20,0,1,2,33,0,0,36,30,6,30,6,14,22,17,19,36,0,13,23,28,8
Yelavarru,Bapatla,AMRUTHALUR - 4924,Yelavarru,0,2,69,0,4,67,57,14,0,0,1,70,0,0,71,56,15,54,17,48,23,30,41,71,0,35,36,50,21