State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Charvaganipalle,CHITTOOR,PENUMURU - 4783,Charvaganipalle,0,4,14,4,6,8,8,8,2,0,7,11,0,0,18,18,0,11,7,10,8,14,4,18,0,16,2,11,7
Chennasamudra Agraharam,CHITTOOR,PENUMURU - 4783,Chennasamudra Agraharam,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Chinnamareddi Khandriga,CHITTOOR,PENUMURU - 4783,Chinnamareddi Khandriga,0,18,10,9,14,5,14,9,5,1,17,10,0,0,28,28,0,17,11,11,17,19,9,25,3,27,1,17,11
Chinthapenta,CHITTOOR,PENUMURU - 4783,Chinthapenta,0,11,9,5,5,10,6,10,4,1,11,8,0,0,20,20,0,10,10,7,13,12,8,18,1,19,1,12,8
Guntipalle,CHITTOOR,PENUMURU - 4783,Guntipalle,0,2,2,0,1,3,2,2,0,0,3,1,0,0,4,4,0,3,1,3,1,4,0,3,1,3,1,2,2
Kaligiri,CHITTOOR,PENUMURU - 4783,Kaligiri,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
Kalvagunta,CHITTOOR,PENUMURU - 4783,Kalvagunta,0,15,12,10,10,7,10,12,5,0,15,12,0,0,27,27,0,20,7,16,11,18,9,23,4,24,3,14,13
Kamachinnaiahpalle,CHITTOOR,PENUMURU - 4783,Kamachinnaiahpalle,0,4,10,4,4,6,9,2,3,0,4,10,0,0,14,14,0,7,7,11,3,10,4,11,3,13,1,10,4
Mopireddipalle,CHITTOOR,PENUMURU - 4783,Mopireddipalle,0,1,2,1,1,1,1,1,1,0,2,1,0,0,3,3,0,2,1,1,2,2,1,3,0,3,0,2,1
Penumuru,CHITTOOR,PENUMURU - 4783,Penumuru,0,21,21,8,15,19,12,22,8,2,22,18,0,0,42,42,0,26,16,18,24,27,15,31,11,35,7,26,16
Pulikallu,CHITTOOR,PENUMURU - 4783,Pulikallu,0,2,5,3,2,2,4,3,0,0,3,4,0,0,7,7,0,5,2,3,4,3,4,7,0,6,1,3,4
Samireddipalle,CHITTOOR,PENUMURU - 4783,Samireddipalle,0,3,2,2,0,3,3,1,1,0,4,1,0,0,5,5,0,2,3,3,2,3,2,5,0,5,0,5,0
Sathambakam,CHITTOOR,PENUMURU - 4783,Sathambakam,0,13,7,5,10,5,12,7,1,4,9,7,0,0,20,20,0,8,12,7,13,12,8,16,4,16,4,15,5